Rank,Team,Player,Fantsy Position,Games,Bye,SOS,InjuryRisk,Consensus ProjCons Proj,DS Proj,AuctionMarketValue,DS AuctionValue,3D Value
233,CLE,Deshaun Watson,QB,7,11,5.4%,29%,77,200.10,1.00,1.00,-8.20
234,KC,Tyquan Thornton,WR,17,5,-2.6%,14%,62,83.70,2.00,1.00,-8.30
235,CIN,Evan McPherson,K,17,6,0.7%,0%,148,135.90,1.00,1.00,-8.30
236,BUF,Tyler Bass,K,17,7,-1.6%,0%,141,138.80,1.00,1.00,-8.40
237,LAR,Colby Parkinson,TE,17,11,-2.2%,0%,59,85.50,1.00,1.00,-8.60
238,CIN,Samaje Perine,RB,17,6,-4%,36%,67,76.70,1.00,1.00,-8.70
239,NO,Devaughn Vele,WR,17,8,0.9%,0%,50,91.80,1.00,1.00,-9.00
240,MIA,Malik Washington,WR,17,6,-1.2%,0%,50,85.20,2.00,1.00,-9.00
241,ATL,Nick Folk,K,17,11,1.8%,0%,140,135.80,1.00,1.00,-9.80
242,NYJ,Isaiah Davis,RB,17,13,-2.5%,0%,35,62.70,2.00,1.00,-9.90
243,BUF,Keon Coleman,WR,17,7,0.7%,24%,27,79.90,1.00,1.00,-9.90
244,BUF,Ty Johnson,RB,17,7,-4.2%,29%,55,70.40,1.00,1.00,-10.00
245,ARI,Trey Benson,RB,17,14,0.1%,25%,24,57.50,1.00,1.00,-10.50
246,CIN,Mike Gesicki,TE,17,6,3.5%,42%,52,86.40,1.00,1.00,-10.70
247,LAC,Kimani Vidal,RB,17,7,0.6%,0%,37,57.30,1.00,1.00,-10.90
248,UNS,Najee Harris,RB,17,18,-,39%,43,62.10,1.00,1.00,-11.00
249,ARI,Carson Beck,QB,4,14,-1.2%,29%,15,182.00,1.00,1.00,-11.00
250,DET,Isaac TeSlaa,WR,17,6,-1%,0%,66,78.50,2.00,1.00,-11.20
