Salary Cap Values for River City #2
Overall,Bye Week,VALUES,Tags,Expert Notes,,QB,Bye Week,VALUES,Tags,Expert Notes,,RB,Bye Week,VALUES,Tags,Expert Notes,,WR,Bye Week,VALUES,Tags,Expert Notes,,TE,Bye Week,VALUES,Tags,Expert Notes,,K,Bye Week,VALUES,Tags,Expert Notes,,DST,Bye Week,VALUES,Tags,Expert Notes,,DB,Bye Week,VALUES,Tags,Expert Notes,,
Dallas Goedert (TE - PHI),10,$16,,,,,,,,,,Keaton Mitchell - LAC,7,$0,,,,Jayden Higgins - HOU,8,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alec Pierce (WR - IND),13,$15,,,,,,,,,,Mike Washington Jr. - LV,13,$0,,,,Denzel Boston - CLE,11,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ Moore (WR - BUF),7,$15,,,,,,,,,,Emari Demercado - KC,5,$0,,,,Jerry Jeudy - CLE,11,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Waddle (WR - DEN),10,$15,,,,,,,,,,Kaelon Black - SF,8,$0,,,,De'Zhaun Stribling - SF,8,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tucker Kraft (TE - GB),11,$15,,,,,,,,,,Malik Davis - DAL,14,$0,,,,Tre Tucker - LV,13,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Kelce (TE - KC),5,$15,,,,,,,,,,Chris Brooks - GB,11,$0,,,,Tank Dell - HOU,8,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luther Burden III (WR - CHI),10,$14,,,,,,,,,,Adam Randall - BAL,13,$0,,,,Jalen McMillan - TB,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Evans (WR - SF),8,$14,,,,,,,,,,Kimani Vidal - LAC,7,$0,,,,Jauan Jennings - MIN,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Kittle (TE - SF),8,$14,,,,,,,,,,James Conner - ARI,14,$0,,,,Jalen Nailor - LV,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Montgomery (RB - HOU),8,$13,,,,,,,,,,Emanuel Wilson - SEA,11,$0,,,,Cooper Kupp - SEA,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
