"Rank","Name","Team","Pos","Pos","Avg","Sleeper","ESPN","Yahoo","Underdog"
"[object Object]","Chris Godwin Jr.","TB","WR","WR","9.09","8.11","12.11","9.02","8.01"
"[object Object]","Jordan Addison","MIN","WR","WR","9.09","9.04","10.07","10.09","8.05"
"[object Object]","Brock Purdy","SF","QB","QB","9.10","11.01","9.07","9.02","9.06"
"[object Object]","Jayden Reed","GB","WR","WR","9.11","9.08","11.06","10.11","7.06"
"[object Object]","Quentin Johnston","LAC","WR","WR","9.11","9.09","12.06","10.02","7.04"
"[object Object]","Kyle Monangai","CHI","RB","RB","9.12","8.06","11.08","9.08","10.01"
"[object Object]","Josh Downs","IND","WR","WR","9.12","9.12","12.02","10.01","7.11"
"[object Object]","Jacory Croskey-Merritt","WAS","RB","RB","10.02","9.01","11.12","10.03","9.04"
"[object Object]","Jordyn Tyson","NO","WR","WR","10.03","8.06","14.08","8.10","8.10"
"[object Object]","Dalton Kincaid","BUF","TE","TE","10.03","8.09","11.12","9.03","11.01"
"[object Object]","Stefon Diggs","WAS","WR","WR","10.03","10.09","11.07","9.12","8.10"
"[object Object]","Makai Lemon","PHI","WR","WR","10.04","-","12.11","10.04","7.09"
"[object Object]","Jordan Mason","MIN","RB","RB","10.05","9.03","12.08","10.08","9.02"
"[object Object]","Kenny Gainwell","TB","RB","RB","10.06","10.02","10.10","10.10","10.01"
"[object Object]","Matthew Golden","GB","WR","WR","10.06","11.03","9.07","11.08","9.05"
"[object Object]","Dallas Goedert","PHI","TE","TE","10.08","11.05","9.02","9.10","12.01"
"[object Object]","Jake Ferguson","DAL","TE","TE","10.10","9.12","10.03","10.08","12.04"
"[object Object]","Wan'Dale Robinson","TEN","WR","WR","10.10","10.07","10.06","11.11","10.05"
"[object Object]","Isaiah Likely","NYG","TE","TE","10.11","10.06","11.08","10.01","11.07"
"[object Object]","Jakobi Meyers","JAX","WR","WR","10.12","10.11","10.05","11.09","10.11"
"[object Object]","Xavier Worthy","KC","WR","WR","11.02","11.08","11.04","11.09","9.11"
"[object Object]","Mark Andrews","BAL","TE","TE","11.03","11.02","11.01","10.05","12.01"
"[object Object]","Aaron Jones Sr.","MIN","RB","RB","11.04","10.03","12.01","11.03","11.08"
"[object Object]","Rachaad White","WAS","RB","RB","11.04","10.12","12.04","11.02","10.10"
"[object Object]","KC Concepcion","CLE","WR","WR","11.05","10.07","13.01","11.08","10.04"
"[object Object]","Jared Goff","DET","QB","QB","11.06","12.08","12.05","10.07","10.04"
"[object Object]","De'Zhaun Stribling","SF","WR","WR","11.06","11.05","13.07","10.07","10.04"
"[object Object]","Deebo Samuel Sr.","SF","WR","WR","11.09","11.11","11.11","11.08","11.07"
"[object Object]","Kyler Murray","MIN","QB","QB","11.10","13.03","13.03","10.04","10.07"
"[object Object]","Romeo Doubs","NE","WR","WR","12.01","11.08","13.07","11.12","10.11"
"[object Object]","Khalil Shakir","BUF","WR","WR","12.01","13.02","11.04","11.11","11.11"
"[object Object]","Baker Mayfield","TB","QB","QB","12.05","13.08","13.04","11.06","11.03"
"[object Object]","Chris Rodriguez Jr.","JAX","RB","RB","12.06","11.09","14.10","11.12","11.04"
"[object Object]","Woody Marks","HOU","RB","RB","12.08","12.10","13.05","11.11","12.05"
"[object Object]","MarShawn Lloyd","GB","RB","RB","12.09","-","-","11.11","13.07"
"[object Object]","Jordan Love","GB","QB","QB","12.10","14.12","14.02","11.04","10.09"
"[object Object]","Rashid Shaheed","SEA","WR","WR","12.10","13.06","13.11","11.08","12.03"
"[object Object]","Tyler Allgeier","ARI","RB","RB","12.10","12.01","14.08","11.10","12.09"
"[object Object]","Jalen Coker","CAR","WR","WR","12.10","13.02","14.04","12.01","11.09"
"[object Object]","Hunter Henry","NE","TE","TE","12.11","13.05","12.11","11.08","13.09"
"[object Object]","Zach Charbonnet","SEA","RB","RB","13.01","12.01","14.01","11.10","14.06"
"[object Object]","Tyrone Tracy Jr.","NYG","RB","RB","13.02","12.03","15.01","11.11","13.07"
"[object Object]","Tyler Shough","NO","QB","QB","13.03","15.07","13.12","11.10","11.06"
"[object Object]","Jonah Coleman","DEN","RB","RB","13.03","12.12","15.02","11.10","12.12"
"[object Object]","Keaton Mitchell","LAC","RB","RB","13.04","14.07","15.01","11.12","11.10"
"[object Object]","Jalen Nailor","LV","WR","WR","13.05","14.09","-","11.10","13.06"
"[object Object]","Sam Darnold","SEA","QB","QB","13.05","14.12","14.06","11.03","12.10"
"[object Object]","Mike Washington Jr.","LV","RB","RB","13.05","14.03","14.09","11.02","-"
"[object Object]","Denzel Boston","CLE","WR","WR","13.05","14.02","14.10","11.11","12.09"
"[object Object]","Brenton Strange","JAX","TE","TE","13.07","13.11","14.12","11.09","13.07"
"[object Object]","Travis Hunter","JAX","WR","WR","13.07","15.10","11.01","-","13.12"
"[object Object]","Oronde Gadsden","LAC","TE","TE","13.08","13.01","-","11.07","16.04"
"[object Object]","Ja'Kobi Lane","BAL","WR","WR","13.08","14.05","14.11","11.06","13.10"
"[object Object]","Tank Bigsby","PHI","RB","RB","13.11","14.11","15.01","11.11","13.08"
"[object Object]","T.J. Hockenson","MIN","TE","TE","13.11","16.07","12.01","11.09","15.02"
"[object Object]","Malik Willis","MIA","QB","QB","13.11","17.03","14.11","11.05","12.01"
"[object Object]","Juwan Johnson","NO","TE","TE","13.11","16.07","14.07","11.07","12.10"
"[object Object]","Alvin Kamara","NO","RB","RB","13.11","13.10","14.04","11.06","16.01"
"[object Object]","Tyjae Spears","TEN","RB","RB","13.12","15.04","14.05","12.01","14.01"
"[object Object]","Aaron Rodgers","PIT","QB","QB","14.01","-","15.01","10.09","16.04"
"[object Object]","Kenyon Sadiq","NYJ","TE","TE","14.02","15.07","13.03","11.10","16.02"
"[object Object]","Omar Cooper Jr.","NYJ","WR","WR","14.03","15.10","-","11.10","14.12"
"[object Object]","Chig Okonkwo","WAS","TE","TE","14.04","17.04","15.02","11.06","13.04"
"[object Object]","Greg Dulcich","MIA","TE","TE","14.04","-","-","11.12","16.08"
"[object Object]","Dontayvion Wicks","PHI","WR","WR","14.05","-","-","-","14.05"
"[object Object]","Brian Robinson","ATL","RB","RB","14.05","15.03","14.09","11.02","16.06"
"[object Object]","Daniel Jones","IND","QB","QB","14.05","18.10","14.02","11.07","12.12"
"[object Object]","C.J. Stroud","HOU","QB","QB","14.05","18.04","14.09","11.06","13.03"
"[object Object]","Isiah Pacheco","DET","RB","RB","14.06","15.05","14.08","11.06","16.05"
"[object Object]","Keenan Allen","IND","WR","WR","14.08","17.11","14.11","11.05","14.04"
"[object Object]","Jalen McMillan","TB","WR","WR","14.08","17.07","15.01","11.09","14.02"
"[object Object]","Pat Freiermuth","PIT","TE","TE","14.08","-","15.01","11.05","17.07"
"[object Object]","Terrance Ferguson","LAR","TE","TE","14.09","18.04","14.09","11.07","14.04"
"[object Object]","Fernando Mendoza","LV","QB","QB","14.10","16.08","14.12","10.12","16.07"
"[object Object]","Jauan Jennings","MIN","WR","WR","14.10","17.09","-","11.07","15.02"
"[object Object]","AJ Barner","SEA","TE","TE","14.10","16.12","15.01","11.06","15.09"
"[object Object]","Cam Ward","TEN","QB","QB","14.11","18.12","15.01","11.05","14.01"
